Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16448576k(6769704k free), swap 33225792k(10969356k free)
CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
61.840: [GC (Allocation Failure) 61.840: [ParNew: 104404K->0K(153600K), 0.0009328 secs] 105533K->1129K(256000K), 0.0010587 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.857: [GC (Allocation Failure) 62.857: [ParNew: 94164K->10240K(153600K), 0.0035957 secs] 95293K->11369K(256000K), 0.0037485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.877: [GC (Allocation Failure) 63.877: [ParNew: 104404K->20480K(153600K), 0.0068081 secs] 105533K->21609K(256000K), 0.0069403 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
64.900: [GC (Allocation Failure) 64.900: [ParNew: 114644K->30720K(153600K), 0.0100548 secs] 115773K->31849K(256000K), 0.0102277 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
66.925: [GC (Allocation Failure) 66.925: [ParNew: 124884K->0K(153600K), 0.0009995 secs] 126013K->1129K(256000K), 0.0011345 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
67.943: [GC (Allocation Failure) 67.943: [ParNew: 94164K->10240K(153600K), 0.0035969 secs] 95293K->11369K(256000K), 0.0037465 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.962: [GC (Allocation Failure) 68.962: [ParNew: 104404K->10240K(153600K), 0.0036857 secs] 105533K->11369K(256000K), 0.0038262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.981: [GC (Allocation Failure) 69.981: [ParNew: 104404K->10240K(153600K), 0.0038740 secs] 105533K->11369K(256000K), 0.0040658 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.998: [GC (Allocation Failure) 70.998: [ParNew: 104404K->0K(153600K), 0.0005163 secs] 105533K->1129K(256000K), 0.0006012 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
72.125: [GC (Allocation Failure) 72.125: [ParNew: 94164K->10240K(153600K), 0.0019836 secs] 95293K->11369K(256000K), 0.0020661 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
73.657: [GC (Allocation Failure) 73.657: [ParNew: 104404K->20480K(153600K), 0.0041156 secs] 105533K->21609K(256000K), 0.0041993 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
74.725: [GC (Allocation Failure) 74.725: [ParNew: 114644K->30720K(153600K), 0.0058927 secs] 115773K->31849K(256000K), 0.0059736 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
76.853: [GC (Allocation Failure) 76.853: [ParNew: 124884K->0K(153600K), 0.0005850 secs] 126013K->1129K(256000K), 0.0006801 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.875: [GC (Allocation Failure) 77.875: [ParNew: 94164K->10240K(153600K), 0.0018115 secs] 95293K->11369K(256000K), 0.0018884 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.885: [GC (Allocation Failure) 78.885: [ParNew: 104404K->10240K(153600K), 0.0019027 secs] 105533K->11369K(256000K), 0.0019836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.900: [GC (Allocation Failure) 79.900: [ParNew: 104404K->10240K(153600K), 0.0035969 secs] 105533K->11369K(256000K), 0.0037461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.918: [GC (Allocation Failure) 80.918: [ParNew: 104404K->0K(153600K), 0.0004895 secs] 105533K->1129K(256000K), 0.0005609 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.926: [GC (Allocation Failure) 81.926: [ParNew: 94164K->10240K(153600K), 0.0020013 secs] 95293K->11369K(256000K), 0.0020838 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.936: [GC (Allocation Failure) 82.936: [ParNew: 104404K->20480K(153600K), 0.0036762 secs] 105533K->21609K(256000K), 0.0037560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.946: [GC (Allocation Failure) 83.947: [ParNew: 114644K->30720K(153600K), 0.0050369 secs] 115773K->31849K(256000K), 0.0051297 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.960: [GC (Allocation Failure) 85.960: [ParNew: 124884K->0K(153600K), 0.0003833 secs] 126013K->1129K(256000K), 0.0004496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.967: [GC (Allocation Failure) 86.967: [ParNew: 94164K->10240K(153600K), 0.0017988 secs] 95293K->11369K(256000K), 0.0018742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.975: [GC (Allocation Failure) 87.975: [ParNew: 104404K->10240K(153600K), 0.0020404 secs] 105533K->11369K(256000K), 0.0021296 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.985: [GC (Allocation Failure) 88.985: [ParNew: 104404K->10240K(153600K), 0.0018237 secs] 105533K->11369K(256000K), 0.0018932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.997: [GC (Allocation Failure) 89.997: [ParNew: 104404K->0K(153600K), 0.0004137 secs] 105533K->1129K(256000K), 0.0004840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.007: [GC (Allocation Failure) 91.007: [ParNew: 94164K->10240K(153600K), 0.0018276 secs] 95293K->11369K(256000K), 0.0019109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.015: [GC (Allocation Failure) 92.015: [ParNew: 104404K->20480K(153600K), 0.0033170 secs] 105533K->21609K(256000K), 0.0033932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.026: [GC (Allocation Failure) 93.026: [ParNew: 114644K->30720K(153600K), 0.0051881 secs] 115773K->31849K(256000K), 0.0052761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.039: [GC (Allocation Failure) 95.039: [ParNew: 124884K->0K(153600K), 0.0008846 secs] 126013K->1129K(256000K), 0.0009975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.056: [GC (Allocation Failure) 96.056: [ParNew: 94164K->10240K(153600K), 0.0036600 secs] 95293K->11369K(256000K), 0.0038017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.075: [GC (Allocation Failure) 97.075: [ParNew: 104404K->10240K(153600K), 0.0036367 secs] 105533K->11369K(256000K), 0.0037765 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.091: [GC (Allocation Failure) 98.091: [ParNew: 104404K->10240K(153600K), 0.0017929 secs] 105533K->11369K(256000K), 0.0018616 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.100: [GC (Allocation Failure) 99.100: [ParNew: 104404K->0K(153600K), 0.0003943 secs] 105533K->1129K(256000K), 0.0004690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
100.112: [GC (Allocation Failure) 100.112: [ParNew: 94164K->10240K(153600K), 0.0037165 secs] 95293K->11369K(256000K), 0.0038740 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
101.132: [GC (Allocation Failure) 101.132: [ParNew: 104404K->20480K(153600K), 0.0068863 secs] 105533K->21609K(256000K), 0.0070615 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
102.155: [GC (Allocation Failure) 102.155: [ParNew: 114644K->30720K(153600K), 0.0100063 secs] 115773K->31849K(256000K), 0.0101381 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
104.181: [GC (Allocation Failure) 104.181: [ParNew: 124884K->0K(153600K), 0.0008894 secs] 126013K->1129K(256000K), 0.0010397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.198: [GC (Allocation Failure) 105.198: [ParNew: 94164K->10240K(153600K), 0.0036265 secs] 95293K->11369K(256000K), 0.0037749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
106.217: [GC (Allocation Failure) 106.217: [ParNew: 104404K->10240K(153600K), 0.0032779 secs] 105533K->11369K(256000K), 0.0034106 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
107.233: [GC (Allocation Failure) 107.233: [ParNew: 104404K->10240K(153600K), 0.0018261 secs] 105533K->11369K(256000K), 0.0019090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.247: [GC (Allocation Failure) 108.247: [ParNew: 104404K->0K(153600K), 0.0009351 secs] 105533K->1129K(256000K), 0.0010970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.271: [GC (Allocation Failure) 109.271: [ParNew: 94164K->10240K(153600K), 0.0037181 secs] 95293K->11369K(256000K), 0.0038831 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.291: [GC (Allocation Failure) 110.291: [ParNew: 104404K->20480K(153600K), 0.0071827 secs] 105533K->21609K(256000K), 0.0073339 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
111.310: [GC (Allocation Failure) 111.310: [ParNew: 114644K->30720K(153600K), 0.0062460 secs] 115773K->31849K(256000K), 0.0063431 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
