Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16448576k(6475844k free), swap 33225792k(10615604k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
481.779: [GC (Allocation Failure) 481.779: [ParNew: 81920K->0K(92160K), 0.0008751 secs] 82995K->1075K(194560K), 0.0009975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
497.792: [GC (Allocation Failure) 497.792: [ParNew: 81920K->0K(92160K), 0.0008775 secs] 82995K->1075K(194560K), 0.0010050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
513.813: [GC (Allocation Failure) 513.813: [ParNew: 81920K->0K(92160K), 0.0008949 secs] 82995K->1075K(194560K), 0.0010319 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
529.825: [GC (Allocation Failure) 529.825: [ParNew: 81920K->0K(92160K), 0.0004978 secs] 82995K->1075K(194560K), 0.0005676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
546.837: [GC (Allocation Failure) 546.837: [ParNew: 81920K->0K(92160K), 0.0004113 secs] 82995K->1075K(194560K), 0.0004753 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
562.849: [GC (Allocation Failure) 562.849: [ParNew: 81920K->0K(92160K), 0.0013046 secs] 82995K->1075K(194560K), 0.0014526 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
578.869: [GC (Allocation Failure) 578.869: [ParNew: 81920K->0K(92160K), 0.0003888 secs] 82995K->1075K(194560K), 0.0004638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
594.883: [GC (Allocation Failure) 594.883: [ParNew: 81870K->0K(92160K), 0.0009647 secs] 82945K->1075K(194560K), 0.0010859 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
610.898: [GC (Allocation Failure) 610.899: [ParNew: 81920K->0K(92160K), 0.0003671 secs] 82995K->1075K(194560K), 0.0004216 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
626.915: [GC (Allocation Failure) 626.915: [ParNew: 81920K->0K(92160K), 0.0009146 secs] 82995K->1075K(194560K), 0.0010547 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
642.935: [GC (Allocation Failure) 642.935: [ParNew: 81920K->0K(92160K), 0.0009032 secs] 82995K->1075K(194560K), 0.0010322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
659.952: [GC (Allocation Failure) 659.952: [ParNew: 81920K->0K(92160K), 0.0009399 secs] 82995K->1075K(194560K), 0.0010512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
675.968: [GC (Allocation Failure) 675.968: [ParNew: 81920K->0K(92160K), 0.0008992 secs] 82995K->1075K(194560K), 0.0010109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
691.980: [GC (Allocation Failure) 691.980: [ParNew: 81920K->0K(92160K), 0.0004172 secs] 82995K->1075K(194560K), 0.0004761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
707.993: [GC (Allocation Failure) 707.993: [ParNew: 81920K->0K(92160K), 0.0010895 secs] 82995K->1075K(194560K), 0.0012478 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
724.006: [GC (Allocation Failure) 724.006: [ParNew: 81920K->0K(92160K), 0.0008882 secs] 82995K->1075K(194560K), 0.0010153 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
740.018: [GC (Allocation Failure) 740.018: [ParNew: 81920K->0K(92160K), 0.0009651 secs] 82995K->1075K(194560K), 0.0012391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
756.027: [GC (Allocation Failure) 756.028: [ParNew: 81870K->0K(92160K), 0.0010042 secs] 82945K->1075K(194560K), 0.0011140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
773.042: [GC (Allocation Failure) 773.042: [ParNew: 81920K->0K(92160K), 0.0009387 secs] 82995K->1075K(194560K), 0.0010587 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
789.054: [GC (Allocation Failure) 789.054: [ParNew: 81920K->0K(92160K), 0.0006308 secs] 82995K->1075K(194560K), 0.0007358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
805.069: [GC (Allocation Failure) 805.069: [ParNew: 81913K->0K(92160K), 0.0010784 secs] 82989K->1075K(194560K), 0.0012087 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
821.079: [GC (Allocation Failure) 821.079: [ParNew: 81920K->0K(92160K), 0.0007176 secs] 82995K->1075K(194560K), 0.0008195 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
838.090: [GC (Allocation Failure) 838.090: [ParNew: 81911K->0K(92160K), 0.0009142 secs] 82987K->1075K(194560K), 0.0010512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
854.105: [GC (Allocation Failure) 854.105: [ParNew: 81920K->0K(92160K), 0.0004117 secs] 82995K->1075K(194560K), 0.0004867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
870.169: [GC (Allocation Failure) 870.170: [ParNew: 81860K->0K(92160K), 0.0003738 secs] 82935K->1075K(194560K), 0.0004370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
886.182: [GC (Allocation Failure) 886.182: [ParNew: 81920K->0K(92160K), 0.0009186 secs] 82995K->1075K(194560K), 0.0010350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
902.193: [GC (Allocation Failure) 902.193: [ParNew: 81920K->0K(92160K), 0.0009020 secs] 82995K->1075K(194560K), 0.0010247 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
918.202: [GC (Allocation Failure) 918.202: [ParNew: 81920K->0K(92160K), 0.0008538 secs] 82995K->1075K(194560K), 0.0009659 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
935.214: [GC (Allocation Failure) 935.214: [ParNew: 81920K->0K(92160K), 0.0008779 secs] 82995K->1075K(194560K), 0.0009987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
951.224: [GC (Allocation Failure) 951.224: [ParNew: 81920K->0K(92160K), 0.0009801 secs] 82995K->1075K(194560K), 0.0011009 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
967.236: [GC (Allocation Failure) 967.236: [ParNew: 81920K->0K(92160K), 0.0009505 secs] 82995K->1075K(194560K), 0.0010863 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
983.248: [GC (Allocation Failure) 983.248: [ParNew: 81920K->0K(92160K), 0.0009016 secs] 82995K->1075K(194560K), 0.0010382 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
999.260: [GC (Allocation Failure) 999.260: [ParNew: 81920K->0K(92160K), 0.0009063 secs] 82995K->1075K(194560K), 0.0010236 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1016.283: [GC (Allocation Failure) 1016.283: [ParNew: 81920K->0K(92160K), 0.0009138 secs] 82995K->1075K(194560K), 0.0010654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1032.295: [GC (Allocation Failure) 1032.295: [ParNew: 81920K->0K(92160K), 0.0004034 secs] 82995K->1075K(194560K), 0.0004753 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1048.305: [GC (Allocation Failure) 1048.305: [ParNew: 81920K->0K(92160K), 0.0012474 secs] 82995K->1075K(194560K), 0.0014069 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1064.317: [GC (Allocation Failure) 1064.318: [ParNew: 81920K->0K(92160K), 0.0004232 secs] 82995K->1075K(194560K), 0.0004879 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1080.328: [GC (Allocation Failure) 1080.328: [ParNew: 81920K->0K(92160K), 0.0008870 secs] 82995K->1075K(194560K), 0.0010078 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1097.354: [GC (Allocation Failure) 1097.354: [ParNew: 81920K->0K(92160K), 0.0009201 secs] 82995K->1075K(194560K), 0.0010441 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1113.367: [GC (Allocation Failure) 1113.367: [ParNew: 81920K->0K(92160K), 0.0008933 secs] 82995K->1075K(194560K), 0.0010030 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1129.378: [GC (Allocation Failure) 1129.378: [ParNew: 81920K->0K(92160K), 0.0009201 secs] 82995K->1075K(194560K), 0.0011175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1145.387: [GC (Allocation Failure) 1145.387: [ParNew: 81920K->0K(92160K), 0.0004425 secs] 82995K->1075K(194560K), 0.0005009 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1162.394: [GC (Allocation Failure) 1162.394: [ParNew: 81920K->0K(92160K), 0.0004046 secs] 82995K->1075K(194560K), 0.0004587 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1178.403: [GC (Allocation Failure) 1178.403: [ParNew: 81920K->0K(92160K), 0.0010575 secs] 82995K->1075K(194560K), 0.0011625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1194.412: [GC (Allocation Failure) 1194.412: [ParNew: 81920K->0K(92160K), 0.0014309 secs] 82995K->1075K(194560K), 0.0015845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1210.424: [GC (Allocation Failure) 1210.424: [ParNew: 81920K->0K(92160K), 0.0009107 secs] 82995K->1075K(194560K), 0.0010390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1226.438: [GC (Allocation Failure) 1226.438: [ParNew: 81920K->0K(92160K), 0.0009197 secs] 82995K->1075K(194560K), 0.0010599 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
1242.447: [GC (Allocation Failure) 1242.447: [ParNew: 81920K->0K(92160K), 0.0009644 secs] 82995K->1075K(194560K), 0.0010966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1259.458: [GC (Allocation Failure) 1259.458: [ParNew: 81920K->0K(92160K), 0.0008586 secs] 82995K->1075K(194560K), 0.0009679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1275.473: [GC (Allocation Failure) 1275.473: [ParNew: 81920K->0K(92160K), 0.0009434 secs] 82995K->1075K(194560K), 0.0010844 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1291.482: [GC (Allocation Failure) 1291.483: [ParNew: 81920K->0K(92160K), 0.0010453 secs] 82995K->1075K(194560K), 0.0011570 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1307.497: [GC (Allocation Failure) 1307.497: [ParNew: 81920K->0K(92160K), 0.0009312 secs] 82995K->1075K(194560K), 0.0010638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1323.509: [GC (Allocation Failure) 1323.510: [ParNew: 81920K->0K(92160K), 0.0009059 secs] 82995K->1075K(194560K), 0.0010429 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1340.522: [GC (Allocation Failure) 1340.522: [ParNew: 81920K->0K(92160K), 0.0009936 secs] 82995K->1075K(194560K), 0.0011108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1356.535: [GC (Allocation Failure) 1356.535: [ParNew: 81920K->0K(92160K), 0.0008921 secs] 82995K->1075K(194560K), 0.0010050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
